Date,Time,Order Number,Item Description,Quantity Sold,Sold Price
2026-03-25,14:00:28,10-14414-88723,"Pokemon 15 Card Lot TCG Ultra Rare + Hits Only, No Bulk | IR DR EX VMAX V",1,19.78
2026-03-25,19:11:35,03-14426-30402,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,20.68
2026-03-26,3:45:25,12-14414-32816,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,28.5
2026-03-26,6:17:33,03-14427-73212,15 Card NFL Hits Pack | NO VET BASE | Auto Mem #d RC Optic Prizm Select See Desc,1,10.89
2026-03-27,1:46:13,11-14419-69336,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,10.49
2026-03-27,7:35:33,21-14405-91051,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,9.99
2026-03-27,16:09:41,15-14416-91512,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,9.99
2026-03-28,9:54:58,16-14418-20311,Pokémon TCG Serperior EX 164/086 SIR Black Bolt Card Near Mint English,1,39.99
2026-03-28,11:39:15,12-14424-51047,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,18.98
2026-03-28,13:17:29,21-14411-39228,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,9.99
2026-03-28,16:34:45,09-14429-69816,"Pokemon 15 Card Lot TCG Ultra Rare + Hits Only, No Bulk | IR DR EX VMAX V",1,10.29
2026-03-28,19:40:46,03-14439-02022,Dont'e Thornton Jr Flex Emoji /199 Case Hit 2025 Panini Optic #279,1,4.99
2026-03-29,6:37:42,08-14432-82979,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,19.58
2026-03-29,16:23:08,08-14435-31203,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,19.58
2026-03-29,17:52:53,15-14425-62228,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,9.99
2026-03-29,23:44:17,08-14436-59614,Adam Vinatieri /94 SP 2025 Panini Instant #440 Patriots Legend HOF Ready To Ship,1,6.99
2026-04-01,14:13:44,08-14449-05325,Pokemon 15 Card Lot TCG Ultra Rare + Hits Only | No Bulk | IR DR EX VMAX V,1,19.38
2026-04-01,16:42:17,06-14452-89352,Jackson Holliday Rookie Card 2024 Topps Chrome #88 RC Baltimore Orioles,1,1.99
